ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"306.69987"	"1.71e+07"	C+	"3.26711257"	"7.3084633"	11	13		
"306.711840"	"3.89e+06"	B+	"1.60789577"	"5.64908881"	5	7		
"306.724366"	"3.12e+07"	C+	"0.91460217"	"4.95563019"	9	7		
"306.817338"	"1.11e+07"	B+	"1.60789577"	"5.64769932"	5	3		
"307.397850"	"3.83e+06"	C	"2.69240763"	"6.72458242"	11	9		
"307.571940"	"3.14e+07"	C+	"0.95815732"	"4.98804995"	7	5		
"307.801546"	"3.11e+05"	C+	"0.95815732"	"4.98504395"	7	7		
"307.84316"	"1.52e+07"	B	"2.48437256"	"6.51071489"	1	3		
"307.99892"	"8.35e+06"	D+	"3.30140276"	"7.3257089"	9	11		
"308.374072"	"3.08e+07"	C+	"0.99011115"	"5.00952178"	5	3		
"309.020492"	"2.38e+06"	D+	"2.75857762"	"6.76958063"	7	7		
"309.157641"	"5.53e+07"	C	"1.01105568"	"5.02027939"	3	1		
"309.278108"	"8.40e+04"	C+	"0.95815732"	"4.96581946"	7	5		
"309.380486"	"1.28e+06"	B	"1.60789577"	"5.61423177"	5	5		
"309.526657"	"1.93e+06"	C+	"2.69240763"	"6.69685175"	11	11		
"309.81885"	"7.52e+06"	B	"2.69240763"	"6.6930753"	11	11		
"309.989442"	"1.93e+07"	C+	"1.01105568"	"5.00952178"	3	3		
"309.996786"	"8.23e+06"	C+	"0.91460217"	"4.91297355"	9	9		
"310.030329"	"1.87e+07"	C+	"0.99011115"	"4.98804995"	5	5		
"310.066467"	"1.35e+07"	C	"0.95815732"	"4.95563019"	7	7		
"310.083615"	"2.73e+06"	B	"2.40407444"	"6.40132623"	13	11		
"310.100208"	"5.53e+06"	C+	"2.72754450"	"6.72458242"	9	9		
"310.263621"	"3.00e+04"	D+	"0.99011115"	"4.98504395"	5	7		
"311.207742"	"5.24e+06"	C+	"2.94879294"	"6.93160665"	11	11		
"311.663143"	"3.04e+06"	C	"1.01105568"	"4.98804995"	3	5		
"311.763956"	"4.30e+04"	C+	"0.99011115"	"4.96581946"	5	5		
"311.949482"	"8.28e+06"	B	"2.43269470"	"6.40603863"	11	9		
"312.043525"	"7.26e+06"	B	"2.45343044"	"6.42557692"	9	7		
"312.565054"	"2.12e+06"	C	"0.99011115"	"4.95563019"	5	7		
"312.568240"	"8.46e+06"	B	"2.40407444"	"6.36955305"	13	11		
"312.933329"	"9.05e+05"	D+	"1.48486439"	"5.44571679"	9	7		
"313.251786"	"3.39e+07"	C+	"3.21118938"	"7.16801526"	9	7		
"313.410973"	"7.86e+05"	C	"0.95815732"	"4.91297355"	7	9		
"313.586059"	"4.86e+05"	D+	"2.45343044"	"6.40603863"	9	9		
"314.245232"	"3.93e+06"	C	"2.44955978"	"6.39387714"	7	7		
"314.288870"	"5.65e+06"	B	"2.27860466"	"6.22237439"	5	5		
"314.324218"	"1.27e+04"	C+	"0.0000000"	"3.94332623"	9	7		
"314.399022"	"6.10e+07"	B	"3.21118938"	"7.15357742"	9	9		
"314.50572"	"4.65e+06"	C+	"2.99035244"	"6.9314031"	9	9		
"314.779524"	"7.59e+06"	C+	"3.01762252"	"6.95524523"	7	7		
"315.186545"	"1.37e+04"	C+	"0.05156912"	"3.98410712"	7	5		
"315.319962"	"7.91e+06"	B+	"2.44955978"	"6.38043390"	7	9		
"315.331421"	"2.63e+06"	B	"2.44955978"	"6.38029108"	7	7		
"315.449611"	"4.64e+06"	B	"2.46883473"	"6.39809335"	5	7		
"315.627342"	"6.36e+07"	C+	"3.24096914"	"7.16801526"	7	7		
"315.703585"	"1.26e+07"	B+	"2.42543332"	"6.35153108"	9	11		
"315.714423"	"1.81e+06"	C+	"2.27860466"	"6.20456765"	5	3		
"315.788474"	"1.61e+07"	C+	"2.46883473"	"6.39387714"	5	7		
"315.798709"	"2.25e+06"	C+	"2.42543332"	"6.35034852"	9	7		
"316.065717"	"1.93e+07"	B+	"2.42543332"	"6.34703293"	9	9		
"316.137083"	"2.14e+06"	C+	"1.55735733"	"5.47807170"	7	5		
"316.194619"	"4.65e+06"	D+	"2.39920471"	"6.31920567"	11	13		
"316.585758"	"5.35e+06"	C+	"2.44955978"	"6.36471779"	7	9		
"316.643508"	"1.14e+07"	B	"2.55917148"	"6.47361547"	9	7		
"316.885375"	"2.60e+06"	C+	"2.46883473"	"6.38029108"	5	7		
"317.135108"	"1.85e+07"	B	"3.04686890"	"6.95524523"	9	7		
"317.166259"	"2.75e+06"	C+	"2.48211840"	"6.39011087"	3	5		
